# name RA(deg) Dec(deg) r_petro r_auto z_tonry z_spec M_r r_e(arcsec) <mu(re)>(mag/arcsec^2) mu(re)(mag/arcsec^2) mu(2re)(mag/arcsec^2) ellip PA(deg) log(M*/Msol) g-i A_g CATAID SURV_SAMI tile blue_cube red_cube
J141120.29-002950.8 212.83456679 -0.49744635 17.139 17.149 0.02609 0.02517 -18.16 2.69 20.50 21.45 23.13 0.5582 150.44 9.44 1.18 0.198 567678 8 Y13SAR1_P009_15T013 http://sami-survey.org/edr/data/567678/567678_blue_7_Y13SAR1_P009_15T013.fits.gz http://sami-survey.org/edr/data/567678/567678_red_7_Y13SAR1_P009_15T013.fits.gz
J141212.65-003645.7 213.05272748 -0.61270201 17.006 16.796 0.02597 0.02505 -18.45 3.29 20.86 21.35 23.41 0.4719 78.13 8.69 0.13 0.185 567736 8 Y13SAR1_P009_15T013 http://sami-survey.org/edr/data/567736/567736_blue_7_Y13SAR1_P009_15T013.fits.gz http://sami-survey.org/edr/data/567736/567736_red_7_Y13SAR1_P009_15T013.fits.gz
J141212.88-005046.9 213.05368979 -0.84636598 16.435 16.317 0.03347 0.03258 -19.51 5.68 21.78 22.41 24.30 0.5113 116.96 9.37 0.45 0.202 543812 8 Y13SAR1_P009_15T013 http://sami-survey.org/edr/data/543812/543812_blue_7_Y13SAR1_P009_15T013.fits.gz http://sami-survey.org/edr/data/543812/543812_red_7_Y13SAR1_P009_15T013.fits.gz
J141236.41-010211.1 213.15174010 -1.03641973 15.433 15.450 0.05476 0.05385 -21.57 7.42 20.20 20.94 22.73 0.8023 67.86 10.73 1.15 0.226 543859 8 Y13SAR1_P009_15T013 http://sami-survey.org/edr/data/543859/543859_blue_7_Y13SAR1_P009_15T013.fits.gz http://sami-survey.org/edr/data/543859/543859_red_7_Y13SAR1_P009_15T013.fits.gz
J141250.05-004403.4 213.20857533 -0.73428253 17.966 17.932 0.02718 0.02629 -17.45 4.91 22.63 23.24 25.15 0.5432 124.72 8.58 0.48 0.182 47535 8 Y13SAR1_P009_15T013 http://sami-survey.org/edr/data/47535/47535_blue_7_Y13SAR1_P009_15T013.fits.gz http://sami-survey.org/edr/data/47535/47535_red_7_Y13SAR1_P009_15T013.fits.gz 
J141300.67-004951.6 213.25280325 -0.83100458 15.917 15.929 0.02698 0.02609 -19.43 2.91 19.79 20.34 22.31 0.4578 60.30 9.49 0.63 0.200 47500 8 Y13SAR1_P009_15T013 http://sami-survey.org/edr/data/47500/47500_blue_7_Y13SAR1_P009_15T013.fits.gz http://sami-survey.org/edr/data/47500/47500_red_7_Y13SAR1_P009_15T013.fits.gz 
J141453.62+002426.3 213.72344654 0.40730461 18.261 18.265 0.02897 0.02810 -17.24 1.48 20.97 21.68 23.49 0.2190 72.36 8.47 0.45 0.146 617945 8 Y13SAR1_P014_15T029 http://sami-survey.org/edr/data/617945/617945_blue_7_Y13SAR1_P014_15T029.fits.gz http://sami-survey.org/edr/data/617945/617945_red_7_Y13SAR1_P014_15T029.fits.gz
J141528.32+001338.4 213.86801164 0.22734304 16.110 16.104 0.05484 0.05394 -20.89 2.27 18.85 20.13 21.72 0.6231 142.73 10.45 1.16 0.153 617989 8 Y13SAR1_P014_15T029 http://sami-survey.org/edr/data/617989/617989_blue_7_Y13SAR1_P014_15T029.fits.gz http://sami-survey.org/edr/data/617989/617989_red_7_Y13SAR1_P014_15T029.fits.gz
J141701.67+002837.4 214.25699075 0.47706888 15.218 15.176 0.05340 0.05251 -21.74 9.20 21.60 22.78 24.39 0.2902 40.16 10.60 0.88 0.136 91924 8 Y13SAR1_P014_15T029 http://sami-survey.org/edr/data/91924/91924_blue_7_Y13SAR1_P014_15T029.fits.gz http://sami-survey.org/edr/data/91924/91924_red_7_Y13SAR1_P014_15T029.fits.gz 
J141702.23-000949.0 214.25931319 -0.16361749 15.679 15.683 0.05241 0.05152 -21.20 4.26 20.10 20.86 22.64 0.5480 21.64 10.36 0.87 0.143 592835 8 Y13SAR1_P014_15T029 http://sami-survey.org/edr/data/592835/592835_blue_7_Y13SAR1_P014_15T029.fits.gz http://sami-survey.org/edr/data/592835/592835_red_7_Y13SAR1_P014_15T029.fits.gz
J141704.52-001508.5 214.26884742 -0.25236454 16.799 16.738 0.04454 0.04366 -19.77 2.65 20.44 21.48 23.13 0.3322 23.24 9.97 1.09 0.146 63027 8 Y13SAR1_P014_15T029 http://sami-survey.org/edr/data/63027/63027_blue_7_Y13SAR1_P014_15T029.fits.gz http://sami-survey.org/edr/data/63027/63027_red_7_Y13SAR1_P014_15T029.fits.gz 
J141707.71-000054.8 214.28213325 -0.01523894 15.981 15.901 0.05368 0.05279 -21.08 4.15 19.51 20.79 22.38 0.7430 62.93 10.69 1.36 0.136 592858 8 Y13SAR1_P014_15T029 http://sami-survey.org/edr/data/592858/592858_blue_7_Y13SAR1_P014_15T029.fits.gz http://sami-survey.org/edr/data/592858/592858_red_7_Y13SAR1_P014_15T029.fits.gz
J141721.25-001008.7 214.33856074 -0.16909769 17.093 17.087 0.04450 0.04362 -19.41 6.33 22.90 23.73 25.47 0.1394 121.50 9.46 0.63 0.150 592863 8 Y13SAR1_P014_15T029 http://sami-survey.org/edr/data/592863/592863_blue_7_Y13SAR1_P014_15T029.fits.gz http://sami-survey.org/edr/data/592863/592863_red_7_Y13SAR1_P014_15T029.fits.gz
J141727.96+002857.9 214.36652643 0.48277548 14.643 14.579 0.05087 0.04999 -22.26 7.36 20.68 21.78 23.41 0.2234 37.59 11.04 1.19 0.134 91963 8 Y13SAR1_P014_15T029 http://sami-survey.org/edr/data/91963/91963_blue_7_Y13SAR1_P014_15T029.fits.gz http://sami-survey.org/edr/data/91963/91963_red_7_Y13SAR1_P014_15T029.fits.gz 
J141735.09+000932.7 214.39621924 0.15909010 16.341 16.360 0.05525 0.05436 -20.66 3.11 19.43 20.50 22.14 0.7312 30.68 10.38 1.18 0.133 77710 8 Y13SAR1_P014_15T029 http://sami-survey.org/edr/data/77710/77710_blue_7_Y13SAR1_P014_15T029.fits.gz http://sami-survey.org/edr/data/77710/77710_red_7_Y13SAR1_P014_15T029.fits.gz 
J141751.26+001910.2 214.46360194 0.31950998 15.944 15.895 0.05352 0.05264 -21.06 3.06 18.84 20.19 21.77 0.7439 19.94 10.62 1.27 0.145 618143 8 Y13SAR1_P014_15T029 http://sami-survey.org/edr/data/618143/618143_blue_7_Y13SAR1_P014_15T029.fits.gz http://sami-survey.org/edr/data/618143/618143_red_7_Y13SAR1_P014_15T029.fits.gz
J141802.00+002901.7 214.50836039 0.48381333 16.300 16.313 0.05369 0.05281 -20.65 1.26 18.05 19.21 20.83 0.5478 145.90 10.43 1.24 0.139 91999 8 Y13SAR1_P014_15T029 http://sami-survey.org/edr/data/91999/91999_blue_7_Y13SAR1_P014_15T029.fits.gz http://sami-survey.org/edr/data/91999/91999_red_7_Y13SAR1_P014_15T029.fits.gz 
J141805.48+001338.6 214.52287281 0.22739177 16.793 16.772 0.05432 0.05344 -20.20 3.56 21.25 21.91 23.76 0.2923 85.41 10.01 0.93 0.145 618152 8 Y13SAR1_P014_15T029 http://sami-survey.org/edr/data/618152/618152_blue_7_Y13SAR1_P014_15T029.fits.gz http://sami-survey.org/edr/data/618152/618152_red_7_Y13SAR1_P014_15T029.fits.gz
J142336.60-010337.0 215.90250973 -1.06030399 17.211 17.118 0.03188 0.03103 -18.61 5.53 22.50 23.16 25.02 0.3042 175.22 9.12 0.57 0.159 37050 8 Y13SAR1_P005_15T018 http://sami-survey.org/edr/data/37050/37050_blue_8_Y13SAR1_P005_15T018.fits.gz http://sami-survey.org/edr/data/37050/37050_red_8_Y13SAR1_P005_15T018.fits.gz 
J142358.19-010742.3 215.99246490 -1.12841864 17.159 17.156 0.03522 0.03437 -18.81 7.44 21.59 22.51 24.21 0.8743 19.69 9.02 0.36 0.157 511789 8 Y13SAR1_P005_15T018 http://sami-survey.org/edr/data/511789/511789_blue_8_Y13SAR1_P005_15T018.fits.gz http://sami-survey.org/edr/data/511789/511789_red_8_Y13SAR1_P005_15T018.fits.gz
J142417.68-013503.0 216.07367614 -1.58419191 16.455 16.476 0.05699 0.05612 -20.64 3.22 19.82 20.83 22.49 0.6875 143.14 10.49 1.33 0.164 508138 8 Y13SAR1_P005_15T018 http://sami-survey.org/edr/data/508138/508138_blue_8_Y13SAR1_P005_15T018.fits.gz http://sami-survey.org/edr/data/508138/508138_red_8_Y13SAR1_P005_15T018.fits.gz
J142424.24-014553.6 216.10103095 -1.76490306 16.394 16.380 0.05700 0.05613 -20.67 5.32 21.72 22.73 24.39 0.2314 121.21 10.20 0.94 0.177 485504 8 Y13SAR1_P005_15T018 http://sami-survey.org/edr/data/485504/485504_blue_8_Y13SAR1_P005_15T018.fits.gz http://sami-survey.org/edr/data/485504/485504_red_8_Y13SAR1_P005_15T018.fits.gz
J142430.31-013742.2 216.12632633 -1.62839152 16.226 16.142 0.05788 0.05701 -20.96 1.68 18.80 20.12 21.71 0.4037 42.84 10.47 1.14 0.170 508144 8 Y13SAR1_P005_15T018 http://sami-survey.org/edr/data/508144/508144_blue_8_Y13SAR1_P005_15T018.fits.gz http://sami-survey.org/edr/data/508144/508144_red_8_Y13SAR1_P005_15T018.fits.gz
J142508.99-010648.4 216.28745658 -1.11346880 14.952 14.931 0.01030 0.00880 -18.31 8.37 20.27 21.14 22.86 0.7133 149.76 9.36 0.99 0.183 511863 8 Y13SAR1_P005_15T018 http://sami-survey.org/edr/data/511863/511863_blue_8_Y13SAR1_P005_15T018.fits.gz http://sami-survey.org/edr/data/511863/511863_red_8_Y13SAR1_P005_15T018.fits.gz
J142533.23-010650.2 216.38846073 -1.11394391 15.071 15.023 0.05609 0.05523 -22.01 6.15 20.56 21.07 23.10 0.4029 117.81 10.68 0.86 0.177 511867 8 Y13SAR1_P005_15T018 http://sami-survey.org/edr/data/511867/511867_blue_8_Y13SAR1_P005_15T018.fits.gz http://sami-survey.org/edr/data/511867/511867_red_8_Y13SAR1_P005_15T018.fits.gz
J142534.70-012234.0 216.39460870 -1.37611813 15.974 15.992 0.05629 0.05543 -21.05 3.77 20.29 21.19 22.89 0.4540 49.54 10.46 1.07 0.152 492384 8 Y13SAR1_P005_15T018 http://sami-survey.org/edr/data/492384/492384_blue_8_Y13SAR1_P005_15T018.fits.gz http://sami-survey.org/edr/data/492384/492384_red_8_Y13SAR1_P005_15T018.fits.gz
J142600.76-012442.4 216.50319504 -1.41179581 16.069 16.066 0.05580 0.05494 -20.94 4.40 21.39 22.02 23.90 0.0237 70.19 10.10 0.67 0.165 492414 8 Y13SAR1_P005_15T018 http://sami-survey.org/edr/data/492414/492414_blue_8_Y13SAR1_P005_15T018.fits.gz http://sami-survey.org/edr/data/492414/492414_red_8_Y13SAR1_P005_15T018.fits.gz
J142604.84-013220.1 216.52017589 -1.53893514 16.519 16.479 0.05570 0.05484 -20.54 7.58 22.22 23.75 25.31 0.3404 127.26 10.25 1.07 0.179 508268 8 Y13SAR1_P005_15T018 http://sami-survey.org/edr/data/508268/508268_blue_8_Y13SAR1_P005_15T018.fits.gz http://sami-survey.org/edr/data/508268/508268_red_8_Y13SAR1_P005_15T018.fits.gz
J142608.78-011208.2 216.53658941 -1.20229668 16.018 16.004 0.05635 0.05549 -21.07 3.86 19.91 21.05 22.67 0.6191 137.78 10.55 1.19 0.148 511890 8 Y13SAR1_P005_15T018 http://sami-survey.org/edr/data/511890/511890_blue_8_Y13SAR1_P005_15T018.fits.gz http://sami-survey.org/edr/data/511890/511890_red_8_Y13SAR1_P005_15T018.fits.gz
J142623.70-013537.4 216.59876743 -1.59373578 16.935 16.891 0.05658 0.05572 -20.19 1.98 19.36 20.51 22.13 0.6444 44.50 10.19 1.19 0.183 508312 8 Y13SAR1_P005_15T018 http://sami-survey.org/edr/data/508312/508312_blue_8_Y13SAR1_P005_15T018.fits.gz http://sami-survey.org/edr/data/508312/508312_red_8_Y13SAR1_P005_15T018.fits.gz
J144926.89-000951.1 222.36207929 -0.16420126 16.394 16.371 0.04170 0.04096 -19.98 1.86 19.47 20.10 21.98 0.3057 127.82 9.77 0.71 0.167 594906 8 Y13SAR1_P003_15T008 http://sami-survey.org/edr/data/594906/594906_blue_7_Y13SAR1_P003_15T008.fits.gz http://sami-survey.org/edr/data/594906/594906_red_7_Y13SAR1_P003_15T008.fits.gz
J144944.93-001428.4 222.43723397 -0.24123242 17.959 17.859 0.04365 0.04291 -18.56 4.43 22.09 22.74 24.60 0.6531 145.75 9.12 0.62 0.172 65278 8 Y13SAR1_P003_15T008 http://sami-survey.org/edr/data/65278/65278_blue_7_Y13SAR1_P003_15T008.fits.gz http://sami-survey.org/edr/data/65278/65278_red_7_Y13SAR1_P003_15T008.fits.gz 
J145003.72+000550.9 222.51551376 0.09749601 14.962 14.914 0.04080 0.04006 -21.39 9.13 21.30 21.94 23.82 0.4036 45.68 10.46 0.87 0.179 79635 8 Y13SAR1_P003_15T008 http://sami-survey.org/edr/data/79635/79635_blue_7_Y13SAR1_P003_15T008.fits.gz http://sami-survey.org/edr/data/79635/79635_red_7_Y13SAR1_P003_15T008.fits.gz 
J145054.58+000139.6 222.72741926 0.02766595 16.697 16.656 0.04384 0.04310 -19.82 4.40 20.71 21.20 23.26 0.7099 105.07 10.07 1.18 0.174 79693 8 Y13SAR1_P003_15T008 http://sami-survey.org/edr/data/79693/79693_blue_7_Y13SAR1_P003_15T008.fits.gz http://sami-survey.org/edr/data/79693/79693_red_7_Y13SAR1_P003_15T008.fits.gz 
J145058.07+000531.8 222.74197920 0.09218814 18.752 18.508 0.04267 0.04194 -17.94 3.04 22.68 23.31 25.20 0.3955 38.87 9.18 0.96 0.169 79710 8 Y13SAR1_P003_15T008 http://sami-survey.org/edr/data/79710/79710_blue_7_Y13SAR1_P003_15T008.fits.gz http://sami-survey.org/edr/data/79710/79710_red_7_Y13SAR1_P003_15T008.fits.gz 
J145102.99-003137.5 222.76246336 -0.52708988 15.520 15.524 0.04381 0.04307 -20.96 5.83 20.60 22.07 23.64 0.4524 97.25 10.50 1.16 0.183 570206 8 Y13SAR1_P003_15T008 http://sami-survey.org/edr/data/570206/570206_blue_7_Y13SAR1_P003_15T008.fits.gz http://sami-survey.org/edr/data/570206/570206_red_7_Y13SAR1_P003_15T008.fits.gz
J145103.90-002743.9 222.76628131 -0.46221403 15.226 15.095 0.04399 0.04325 -21.42 5.64 20.20 21.56 23.14 0.4777 56.40 10.75 1.24 0.193 570207 8 Y13SAR1_P003_15T008 http://sami-survey.org/edr/data/570207/570207_blue_7_Y13SAR1_P003_15T008.fits.gz http://sami-survey.org/edr/data/570207/570207_red_7_Y13SAR1_P003_15T008.fits.gz
J145109.68-000728.2 222.79037163 -0.12452477 18.602 18.583 0.04481 0.04407 -17.93 1.97 21.35 21.99 23.86 0.5434 103.84 9.08 0.88 0.178 594970 8 Y13SAR1_P003_15T008 http://sami-survey.org/edr/data/594970/594970_blue_7_Y13SAR1_P003_15T008.fits.gz http://sami-survey.org/edr/data/594970/594970_red_7_Y13SAR1_P003_15T008.fits.gz
J145113.81+000140.6 222.80756762 0.02795970 18.274 18.040 0.02400 0.02326 -16.99 1.95 22.68 24.01 25.60 0.2750 13.91 8.57 0.70 0.173 79712 8 Y13SAR1_P003_15T008 http://sami-survey.org/edr/data/79712/79712_blue_7_Y13SAR1_P003_15T008.fits.gz http://sami-survey.org/edr/data/79712/79712_red_7_Y13SAR1_P003_15T008.fits.gz 
J145153.34-004324.4 222.97228272 -0.72344931 17.172 16.880 0.04451 0.04378 -19.60 3.98 21.68 22.19 24.22 0.5540 6.32 9.47 0.54 0.184 49857 8 Y13SAR1_P003_15T008 http://sami-survey.org/edr/data/49857/49857_blue_7_Y13SAR1_P003_15T008.fits.gz http://sami-survey.org/edr/data/49857/49857_red_7_Y13SAR1_P003_15T008.fits.gz 
J145219.41-001609.1 223.08090459 -0.26920906 16.432 16.425 0.04432 0.04359 -20.07 2.17 19.84 20.85 22.51 0.3003 161.30 10.05 1.04 0.202 65410 8 Y13SAR1_P003_15T008 http://sami-survey.org/edr/data/65410/65410_blue_7_Y13SAR1_P003_15T008.fits.gz http://sami-survey.org/edr/data/65410/65410_red_7_Y13SAR1_P003_15T008.fits.gz 
J145231.95-000958.8 223.13313090 -0.16634394 16.498 16.479 0.04320 0.04247 -19.97 7.16 21.24 21.62 23.91 0.7940 25.82 9.88 0.86 0.197 595027 8 Y13SAR1_P003_15T008 http://sami-survey.org/edr/data/595027/595027_blue_7_Y13SAR1_P003_15T008.fits.gz http://sami-survey.org/edr/data/595027/595027_red_7_Y13SAR1_P003_15T008.fits.gz
 
