# name RA(deg) Dec(deg) r_petro r_auto z_tonry z_spec M_r r_e(arcsec) <mu(re)>(mag/arcsec^2) mu(re)(mag/arcsec^2) mu(2re)(mag/arcsec^2) ellip PA(deg) log(M*/Msol) g-i A_g CATAID SURV_SAMI tile blue_cube red_cube
J084932.79-000500.9 132.38664975 -0.08360300 15.664 15.665 0.03807 0.03704 -20.48 5.42 20.84 22.04 23.65 0.3124 68.93 10.18 0.97 0.111 536625 8 Y13SAR1_P008_09T013 http://sami-survey.org/edr/data/536625/536625_blue_7_Y13SAR1_P008_09T013.fits.gz http://sami-survey.org/edr/data/536625/536625_red_7_Y13SAR1_P008_09T013.fits.gz
J085000.61-001056.3 132.50256798 -0.18230895 17.627 17.647 0.04156 0.04052 -18.67 5.06 21.78 22.36 24.29 0.7321 11.14 9.00 0.42 0.106 536626 8 Y13SAR1_P008_09T013 http://sami-survey.org/edr/data/536626/536626_blue_7_Y13SAR1_P008_09T013.fits.gz http://sami-survey.org/edr/data/536626/536626_red_7_Y13SAR1_P008_09T013.fits.gz
J085001.60+001332.7 132.50669626 0.22577093 15.585 15.552 0.05238 0.05134 -21.34 9.23 22.04 23.36 24.95 0.1171 11.41 10.58 1.08 0.152 599689 8 Y13SAR1_P008_09T013 http://sami-survey.org/edr/data/599689/599689_blue_7_Y13SAR1_P008_09T013.fits.gz http://sami-survey.org/edr/data/599689/599689_red_7_Y13SAR1_P008_09T013.fits.gz
J085031.69+001908.6 132.63206755 0.31906756 15.011 14.979 0.05438 0.05333 -22.01 6.68 20.97 22.00 23.65 0.1314 79.46 10.88 1.12 0.150 599761 8 Y13SAR1_P008_09T013 http://sami-survey.org/edr/data/599761/599761_blue_7_Y13SAR1_P008_09T013.fits.gz http://sami-survey.org/edr/data/599761/599761_red_7_Y13SAR1_P008_09T013.fits.gz
J085032.63-001510.1 132.63598101 -0.25281896 15.662 15.689 0.07084 0.06977 -21.90 3.90 20.21 21.38 22.99 0.3024 28.84 10.91 1.25 0.117 203114 8 Y13SAR1_P008_09T013 http://sami-survey.org/edr/data/203114/203114_blue_7_Y13SAR1_P008_09T013.fits.gz http://sami-survey.org/edr/data/203114/203114_red_7_Y13SAR1_P008_09T013.fits.gz
J085058.40-001343.8 132.74333509 -0.22884554 16.158 16.155 0.08804 0.08696 -21.97 2.57 19.76 21.07 22.66 0.3054 38.22 10.93 1.29 0.111 203140 8 Y13SAR1_P008_09T013 http://sami-survey.org/edr/data/203140/203140_blue_7_Y13SAR1_P008_09T013.fits.gz http://sami-survey.org/edr/data/203140/203140_red_7_Y13SAR1_P008_09T013.fits.gz
J085109.79+001512.9 132.79081214 0.25359158 14.135 13.937 0.04195 0.04091 -22.45 5.63 19.65 21.13 22.70 0.1478 104.59 11.15 1.20 0.137 599838 8 Y13SAR1_P008_09T013 http://sami-survey.org/edr/data/599838/599838_blue_7_Y13SAR1_P008_09T013.fits.gz http://sami-survey.org/edr/data/599838/599838_red_7_Y13SAR1_P008_09T013.fits.gz
J085121.64-002342.5 132.84017059 -0.39515579 17.394 17.412 0.04393 0.04289 -19.04 1.88 20.73 21.25 23.27 0.1233 110.11 9.27 0.57 0.109 203148 8 Y13SAR1_P008_09T013 http://sami-survey.org/edr/data/203148/203148_blue_7_Y13SAR1_P008_09T013.fits.gz http://sami-survey.org/edr/data/203148/203148_red_7_Y13SAR1_P008_09T013.fits.gz
J085136.53+001623.3 132.90223376 0.27313863 16.463 16.429 0.05353 0.05248 -20.53 3.35 20.66 21.92 23.52 0.3334 6.01 10.30 1.14 0.127 599877 8 Y13SAR1_P008_09T013 http://sami-survey.org/edr/data/599877/599877_blue_7_Y13SAR1_P008_09T013.fits.gz http://sami-survey.org/edr/data/599877/599877_red_7_Y13SAR1_P008_09T013.fits.gz
J091745.30+010319.5 139.43876422 1.05542467 15.798 15.759 0.02832 0.02727 -19.70 7.24 22.25 23.16 24.86 0.2086 113.04 9.54 0.55 0.118 279818 8 Y13SAR1_P009_09T015 http://sami-survey.org/edr/data/279818/279818_blue_7_Y13SAR1_P009_09T015.fits.gz http://sami-survey.org/edr/data/279818/279818_red_7_Y13SAR1_P009_09T015.fits.gz
J091833.93+012037.5 139.64139357 1.34375941 15.780 15.719 0.02833 0.02727 -19.78 5.40 20.70 21.55 23.28 0.4871 99.64 9.85 0.88 0.084 302846 8 Y13SAR1_P003_09T006 http://sami-survey.org/edr/data/302846/302846_blue_7_Y13SAR1_P003_09T006.fits.gz http://sami-survey.org/edr/data/302846/302846_red_7_Y13SAR1_P003_09T006.fits.gz
J091849.99+010122.7 139.70831258 1.02299675 18.603 18.561 0.02478 0.02381 -16.58 2.36 21.56 22.07 24.10 0.5841 35.66 8.20 0.43 0.094 279891 8 Y13SAR1_P003_09T006 http://sami-survey.org/edr/data/279891/279891_blue_7_Y13SAR1_P003_09T006.fits.gz http://sami-survey.org/edr/data/279891/279891_red_7_Y13SAR1_P003_09T006.fits.gz
J091850.92+003823.8 139.71219156 0.63996425 16.100 16.051 0.05781 0.05668 -21.05 8.19 21.24 21.72 23.80 0.7444 94.59 10.25 0.81 0.129 623620 8 Y13SAR1_P009_09T015 http://sami-survey.org/edr/data/623620/623620_blue_7_Y13SAR1_P009_09T015.fits.gz http://sami-survey.org/edr/data/623620/623620_red_7_Y13SAR1_P009_09T015.fits.gz
