AGCNr,Name,HIra,HIdec,OCra,OCdec,v21,w50,werr,flux,fluxerr,snratio,rms,dist,loghimass,detcode
311321,"HIdetHVC", 326.127930,  34.989723,   0.000000,   0.000000, -336, 24,  0,  6.62,0.16, 20.7,13.57,   0.0, 0.00,9
311337,"HIdetHVC", 326.355011,  20.348612,   0.000000,   0.000000, -327, 22,  0,  0.89,0.03, 14.5, 2.75,   0.0, 0.00,9
311338,"HIdetHVC", 326.613312,  20.491388,   0.000000,   0.000000, -292, 27,  1,  1.23,0.03, 17.0, 2.80,   0.0, 0.00,9
311322,"HIdetHVC", 326.800415,  35.691391,   0.000000,   0.000000, -331, 23,  0,  9.99,0.13, 38.6,11.32,   0.0, 0.00,9
 11813,"        ", 326.879181,  22.165277, 326.879181,  22.163889, 1838, 98,  2,  4.69,0.06, 47.3, 2.22,  29.3, 8.98,1
 11815,"N7137   ", 327.057495,  22.160278, 327.054565,  22.159445, 1689,100, 11,  8.17,0.08, 77.7, 2.34,  27.1, 9.15,1
 11820,"M+255015", 327.373352,  14.227221, 327.368774,  14.230833, 1104,116,  2, 25.90,0.08,215.4, 2.49,  18.2, 9.31,1
311339,"HIdetHVC", 327.457520,  12.277778,   0.000000,   0.000000, -333, 22,  0,  2.94,0.05, 30.2, 4.50,   0.0, 0.00,9
310861,"HIdetHVC", 327.738770,  27.879168,   0.000000,   0.000000, -424, 24,  0,  2.17,0.03, 34.5, 2.43,   0.0, 0.00,9
310862,"HIdetHVC", 327.792084,  28.640556,   0.000000,   0.000000, -420, 25,  0,  5.99,0.05, 60.9, 3.50,   0.0, 0.00,9
310863,"HIdetHVC", 327.818329,  28.063334,   0.000000,   0.000000, -420, 29,  1,  2.45,0.06, 21.1, 4.13,   0.0, 0.00,9
310864,"HIdetHVC", 327.940430,  27.869444,   0.000000,   0.000000, -419, 21,  0,  1.55,0.03, 28.2, 2.37,   0.0, 0.00,9
311340,"HIdetHVC", 327.997498,  20.410833,   0.000000,   0.000000, -366, 19,  1,  0.69,0.03, 12.5, 2.48,   0.0, 0.00,9
311194,"HIdetHVC", 328.041656,   6.847778,   0.000000,   0.000000,  -96, 25,  0,  5.39,0.06, 45.1, 4.91,   0.0, 0.00,9
312297,"rgmph   ", 328.232910,  13.561389, 328.230835,  13.560000, 1721, 23,  3,  0.91,0.04, 17.1, 2.32,  27.2, 8.20,1
311341,"HIdetHVC", 328.365021,  11.872500,   0.000000,   0.000000, -305, 19,  1,  0.87,0.04, 11.3, 3.57,   0.0, 0.00,9
311146,"HIdetHVC", 328.420013,   2.045556,   0.000000,   0.000000, -303, 24,  0,  4.75,0.05, 42.4, 4.69,   0.0, 0.00,9
310851,"HIdetHVC", 328.539978,  31.213335,   0.000000,   0.000000, -323, 23,  4,  3.01,0.15, 16.1, 8.23,   0.0, 0.00,9
310823,"        ", 328.575409,   0.948333, 328.574982,   0.942222, 2972,190, 13,  1.39,0.09,  7.8, 2.87,  44.7, 8.82,1
311342,"HIdetHVC", 328.715393,  20.777500,   0.000000,   0.000000, -326, 28,  1,  1.29,0.05, 12.3, 4.33,   0.0, 0.00,9
749023,"HIdetHVC", 328.792480,  14.878889,   0.000000,   0.000000, -334, 33,  7,  0.45,0.05,  6.9, 2.48,   0.0, 0.00,9
749024,"HIdetHVC", 328.869568,  14.747223,   0.000000,   0.000000, -335, 48,  8,  0.40,0.05,  5.4, 2.36,   0.0, 0.00,9
311343,"HIdetHVC", 328.997070,  20.842501,   0.000000,   0.000000, -320, 23,  0,  1.53,0.04, 18.4, 3.66,   0.0, 0.00,9
748666,"        ", 329.260010,  13.801111, 329.263336,  13.802500, 1691,136,  6,  3.82,0.06, 32.1, 2.27,  26.7, 8.81,1
310865,"HIdetHVC", 329.503754,  28.620556,   0.000000,   0.000000, -438, 22,  1,  0.80,0.03, 11.4, 2.69,   0.0, 0.00,9
 11860,"M+451014", 329.503754,  24.266111, 329.498749,  24.266388, 3126,171, 22,  5.27,0.09, 35.6, 2.52,  47.6, 9.45,1
311154,"        ", 329.575439,  21.367779, 329.571686,  21.355833, 1844,135,  4,  2.39,0.10, 13.6, 3.37,  29.1, 8.68,1
 11866,"428-006 ", 329.643738,  14.118055, 329.641693,  14.122222, 1703, 94,  3, 18.46,0.07,178.4, 2.37,  26.9, 9.50,1
311344,"HIdetHVC", 329.670837,  20.457779,   0.000000,   0.000000, -318, 17,  0,  1.31,0.03, 18.1, 3.08,   0.0, 0.00,9
310467,"AHISS   ", 329.767517,  14.245556, 329.773743,  14.238889, 1720, 34,  2,  0.79,0.04, 14.4, 2.02,  27.1, 8.14,1
 11868,"IIZw168 ", 329.769165,  18.182777, 329.769562,  18.176945, 1092,115,  2, 10.51,0.06,110.2, 1.98,  18.0, 8.91,1
311147,"HIdetHVC", 329.792908,  22.380833,   0.000000,   0.000000, -331, 22,  0,  0.81,0.03, 12.9, 2.83,   0.0, 0.00,9
311345,"HIdetHVC", 329.829590,  20.412777,   0.000000,   0.000000, -325, 22,  1,  2.48,0.05, 23.0, 4.42,   0.0, 0.00,9
310866,"HIdetHVC", 329.869995,  28.846668,   0.000000,   0.000000, -381, 27,  1,  0.70,0.05,  7.8, 3.56,   0.0, 0.00,9
311346,"HIdetHVC", 329.997070,  20.647778,   0.000000,   0.000000, -315, 21,  0,  5.84,0.06, 41.2, 5.89,   0.0, 0.00,9
322800,"HIdetHVC", 330.004181,  20.943888,   0.000000,   0.000000, -317, 20,  0,  7.05,0.06, 61.7, 5.54,   0.0, 0.00,9
322406,"HIdetHVC", 330.083740,   7.528333,   0.000000,   0.000000,  -85, 38,  1, 10.22,0.08, 57.0, 5.94,   0.0, 0.00,9
 11872,"N7177   ", 330.170837,  17.735001, 330.171265,  17.737778, 1150,295,  2, 24.34,0.13,102.7, 3.08,  18.8, 9.31,1
321318,"HIdetHVC", 330.230835,  24.752777,   0.000000,   0.000000, -345, 29, 14,  2.20,0.18, 11.4, 7.69,   0.0, 0.00,9
321319,"HIdetHVC", 330.363312,  24.996389,   0.000000,   0.000000, -371, 20,  9,  1.15,0.11,  9.8, 5.42,   0.0, 0.00,9
 11880,"I1420a  ", 330.627899,  19.751667, 330.631653,  19.750278, 1639, 48,  3,  6.99,0.06, 97.2, 2.27,  26.0, 9.05,1
321998,"        ", 330.777924,   0.070556, 330.772461,   0.070278, 3000,130,  7,  2.06,0.07, 15.9, 2.53,  44.8, 8.99,1
322279,"mph     ", 330.817078,  17.791666, 330.820007,  17.795555, 1272, 43,  3,  1.25,0.07, 10.5, 3.99,  20.5, 8.10,1
321304,"        ", 330.962891,  25.449720, 330.962891,  25.442221, 2692,142, 26,  1.86,0.08, 15.7, 2.22,  41.3, 8.87,1
749025,"HIdetHVC", 331.235016,  14.963889,   0.000000,   0.000000,   45, 15,  0,  1.09,0.03, 20.7, 2.72,   0.0, 0.00,9
322407,"HIdetHVC", 331.322083,   6.898333,   0.000000,   0.000000, -102, 34,  3,  3.15,0.08, 18.7, 6.20,   0.0, 0.00,9
322487,"mphrg   ", 331.502502,  33.770279, 331.505005,  33.761944,  980, 35,  3,  0.80,0.05, 12.1, 2.41,  16.5, 7.71,1
321265,"        ", 331.552490,   1.055000, 331.548767,   1.052500, 2929, 87,  2,  2.58,0.07, 20.8, 2.96,  43.8, 9.07,1
322082,"HIdetHVC", 331.592926,  22.672499,   0.000000,   0.000000, -402, 20,  1,  0.55,0.03,  9.7, 2.48,   0.0, 0.00,9
 11908,"M+356010", 331.647919,  16.053055, 331.646271,  16.054998, 1770, 62,  2,  6.49,0.05, 81.8, 2.24,  27.7, 9.07,1
322801,"HIdetHVC", 331.790009,  17.492779,   0.000000,   0.000000, -405, 18,  0,  1.08,0.03, 17.2, 3.01,   0.0, 0.00,9
322238,"HIdetHVC", 331.824158,   7.894166,   0.000000,   0.000000, -293, 20,  0,  0.76,0.04, 11.5, 3.30,   0.0, 0.00,9
322802,"HIdetHVC", 331.906677,   4.880278,   0.000000,   0.000000, -288, 37,  0,  5.88,0.09, 34.0, 6.34,   0.0, 0.00,9
322239,"HIdetHVC", 331.957520,   8.646111,   0.000000,   0.000000, -322, 23,  4,  0.49,0.03,  8.0, 2.72,   0.0, 0.00,9
 11914,"N7217   ", 331.969574,  31.360279, 331.968750,  31.359167,  952,309,  2, 10.49,0.10, 59.9, 2.23,  16.0, 8.80,1
322240,"HIdetHVC", 331.999603,   8.196944,   0.000000,   0.000000, -292, 24,  6,  0.99,0.04, 12.2, 3.42,   0.0, 0.00,9
322083,"HIdetHVC", 332.035431,  22.616388,   0.000000,   0.000000, -395, 24,  2,  0.41,0.03,  7.2, 2.45,   0.0, 0.00,9
 11916,"451-011 ", 332.090393,  18.459723, 332.090393,  18.453890, 1142,145,  3,  5.68,0.11, 30.7, 3.43,  18.6, 8.66,1
322241,"HIdetHVC", 332.111664,   8.953333,   0.000000,   0.000000, -326, 27,  6,  1.40,0.04, 17.6, 3.32,   0.0, 0.00,9
322242,"HIdetHVC", 332.112091,   8.960000,   0.000000,   0.000000, -327, 26,  1,  1.54,0.04, 20.1, 3.07,   0.0, 0.00,9
322803,"HIdetHVC", 332.122894,  17.207779,   0.000000,   0.000000, -420, 20,  0,  3.11,0.06, 28.8, 5.22,   0.0, 0.00,9
322804,"HIdetHVC", 332.306671,  17.281111,   0.000000,   0.000000, -416, 20,  0,  1.58,0.04, 18.8, 3.74,   0.0, 0.00,9
 11921,"428-037 ", 332.312500,  14.361667, 332.313751,  14.360278, 1674,150,  2,  9.08,0.07, 74.3, 2.22,  26.2, 9.17,1
 11926,"M+356015", 332.374176,  18.674999, 332.379578,  18.681389, 1650, 94,  2,  8.00,0.09, 55.7, 3.30,  26.0, 9.10,1
322805,"HIdetHVC", 332.540833,  19.980001,   0.000000,   0.000000, -356, 26,  1,  0.55,0.04,  7.3, 3.28,   0.0, 0.00,9
323098,"HIdetHVC", 332.603333,  32.309723,   0.000000,   0.000000, -286, 26,  1,  1.13,0.05, 10.9, 4.07,   0.0, 0.00,9
322084,"HIdetHVC", 332.624146,  23.613335,   0.000000,   0.000000, -413, 25,  1,  0.64,0.03, 10.7, 2.69,   0.0, 0.00,9
322806,"HIdetHVC", 332.724976,   5.770833,   0.000000,   0.000000, -156, 42,  1,  0.91,0.04, 11.4, 2.60,   0.0, 0.00,9
322807,"HIdetHVC", 332.762878,  16.915556,   0.000000,   0.000000, -422, 22,  1,  0.67,0.04,  7.8, 3.86,   0.0, 0.00,9
748687,"        ", 332.835815,  14.772500, 332.849152,  14.772778, 1644, 70,  4,  0.80,0.05, 10.3, 2.06,  25.7, 8.10,1
321455,"HIdetHVC", 332.841644,  29.898611,   0.000000,   0.000000, -288, 18,  2,  1.64,0.08, 15.3, 5.18,   0.0, 0.00,9
 11944,"M+356018", 332.998322,  17.901667, 333.002930,  17.902500, 1734,153,  2, 15.11,0.08,118.2, 2.31,  27.1, 9.42,1
749026,"HIdetHVC", 333.093323,  15.757222,   0.000000,   0.000000, -110, 22,  0,  0.75,0.03, 12.2, 2.64,   0.0, 0.00,9
322085,"HIdetHVC", 333.105835,  23.220835,   0.000000,   0.000000, -401, 21,  0,  1.28,0.04, 18.8, 3.25,   0.0, 0.00,9
321320,"HIdetHVC", 333.115021,  24.725000,   0.000000,   0.000000, -303, 25,  8,  2.00,0.15, 14.2, 5.98,   0.0, 0.00,9
322086,"HIdetHVC", 333.182098,  22.335835,   0.000000,   0.000000, -378, 25,  1,  0.72,0.03,  9.7, 3.02,   0.0, 0.00,9
322808,"HIdetHVC", 333.229187,  20.316111,   0.000000,   0.000000, -381, 21,  1,  1.04,0.04, 15.1, 3.25,   0.0, 0.00,9
321203,"        ", 333.262085,  28.074446, 333.263336,  28.072224,  983, 62,  3,  1.08,0.05, 14.2, 2.15,  16.4, 7.83,1
322087,"HIdetHVC", 333.338318,  22.941666,   0.000000,   0.000000, -353, 31,  7,  0.41,0.04,  6.5, 2.48,   0.0, 0.00,9
322809,"HIdetHVC", 333.359589,  20.587778,   0.000000,   0.000000, -388, 27,  1,  0.40,0.03,  7.6, 2.19,   0.0, 0.00,9
322810,"HIdetHVC", 333.404175,  19.755556,   0.000000,   0.000000,   40, 14,  0,  1.41,0.03, 25.6, 3.08,   0.0, 0.00,9
322811,"HIdetHVC", 333.512085,  16.725000,   0.000000,   0.000000, -412, 19,  1,  1.25,0.05, 10.9, 5.17,   0.0, 0.00,9
321307,"        ", 333.518341,  25.685555, 333.519562,  25.681110, 1152, 60,  5,  1.11,0.05, 15.6, 2.03,  18.8, 7.96,1
322006,"        ", 333.550842,   2.133333, 333.536682,   2.131389, 2881,126, 22,  0.83,0.07,  6.4, 2.35,  43.0, 8.56,1
322007,"        ", 333.557495,   2.014444, 333.556244,   2.005833, 2914, 44,  6,  0.89,0.05,  8.1, 2.44,  43.4, 8.60,1
322088,"HIdetHVC", 333.592102,  22.701668,   0.000000,   0.000000, -400, 27,  1,  0.69,0.03,  9.6, 2.75,   0.0, 0.00,9
748693,"        ", 333.665009,  15.260278, 333.665833,  15.257500, 1720, 84,  4,  1.27,0.06, 13.4, 2.30,  26.8, 8.33,1
322812,"HIdetHVC", 333.698761,  20.856667,   0.000000,   0.000000, -395, 24,  0,  1.68,0.04, 22.0, 3.27,   0.0, 0.00,9
322813,"HIdetHVC", 333.708344,  21.203335,   0.000000,   0.000000, -393, 19,  1,  0.67,0.03,  9.5, 3.19,   0.0, 0.00,9
322485,"        ", 333.759583,  35.301945, 333.756226,  35.302223,  852, 32,  2,  1.12,0.05, 18.5, 2.32,  14.5, 7.75,1
322008,"        ", 333.776276,   1.781389, 333.774567,   1.773611, 2155, 49, 14,  1.04,0.07, 12.5, 2.60,  32.5, 8.41,1
322814,"HIdetHVC", 333.840393,  21.003056,   0.000000,   0.000000, -403, 33,  1,  1.56,0.06, 13.8, 4.27,   0.0, 0.00,9
 11968,"N7241   ", 333.953766,  19.229168, 333.956665,  19.231112, 1446,390,  2, 51.80,0.12,227.4, 2.58,  68.2,10.75,1
322243,"HIdetHVC", 334.073761,   8.635555,   0.000000,   0.000000,  -93, 44,  1, 13.06,0.10, 66.3, 6.44,   0.0, 0.00,9
322051,"HIdetHVC", 334.145416,   1.195556,   0.000000,   0.000000,  -64, 19,  0,  5.46,0.10, 25.7, 9.88,   0.0, 0.00,9
322052,"HIdetHVC", 334.214996,   1.740000,   0.000000,   0.000000,  -61, 13,  0,  5.07,0.07, 31.8, 8.26,   0.0, 0.00,9
321368,"HIdetHVC", 334.237091,  25.563610,   0.000000,   0.000000, -459, 18,  7,  0.45,0.06,  6.8, 3.19,   0.0, 0.00,9
322815,"HIdetHVC", 334.246674,  21.351944,   0.000000,   0.000000, -402, 33,  1,  1.68,0.08, 10.6, 5.96,   0.0, 0.00,9
322089,"HIdetHVC", 334.315002,  23.668888,   0.000000,   0.000000, -386, 28,  1,  0.66,0.04,  9.3, 2.83,   0.0, 0.00,9
322090,"HIdetHVC", 334.351257,  23.099445,   0.000000,   0.000000, -380, 29,  1,  0.52,0.03,  7.2, 2.77,   0.0, 0.00,9
322816,"HIdetHVC", 334.390808,  19.688889,   0.000000,   0.000000, -331, 26,  0,  0.60,0.04,  8.8, 2.99,   0.0, 0.00,9
748697,"        ", 334.457916,  15.999722, 334.458740,  15.996944, 1776, 51,  3,  2.78,0.06, 37.1, 2.30,  27.5, 8.70,1
321501,"HIdetHVC", 334.545380,  28.751667,   0.000000,   0.000000, -388, 21,  1,  0.87,0.04, 11.4, 3.37,   0.0, 0.00,9
321369,"HIdetHVC", 334.560822,  24.708055,   0.000000,   0.000000, -424, 31,  8,  1.42,0.07, 16.8, 3.30,   0.0, 0.00,9
321349,"HIdetHVC", 334.596222,  25.254723,   0.000000,   0.000000, -253, 46, 16,  0.36,0.05,  5.5, 2.10,   0.0, 0.00,9
322817,"HIdetHVC", 334.657928,  21.110834,   0.000000,   0.000000, -414, 18,  0,  1.92,0.03, 28.6, 3.23,   0.0, 0.00,9
322097,"HIdetHVC", 334.706238,  22.969723,   0.000000,   0.000000, -390, 26,  1,  0.78,0.04,  8.5, 3.67,   0.0, 0.00,9
322818,"HIdetHVC", 334.718750,   3.462778,   0.000000,   0.000000, -377, 37,  3,  2.08,0.10, 12.2, 6.06,   0.0, 0.00,9
322819,"HIdetHVC", 334.719574,   2.833333,   0.000000,   0.000000, -371, 45,  9,  1.07,0.08,  9.1, 3.83,   0.0, 0.00,9
321290,"HIdetHVC", 334.792114,  27.064165,   0.000000,   0.000000, -431, 48,  4,  0.54,0.06,  5.4, 3.23,   0.0, 0.00,9
322820,"HIdetHVC", 334.793365,  20.941111,   0.000000,   0.000000, -414, 20,  0,  2.67,0.04, 28.4, 4.17,   0.0, 0.00,9
322821,"HIdetHVC", 334.908356,  21.128056,   0.000000,   0.000000, -422, 21,  0,  3.05,0.06, 26.6, 5.32,   0.0, 0.00,9
321350,"HIdetHVC", 334.910004,  25.793333,   0.000000,   0.000000, -427, 18,  2,  1.74,0.09, 16.1, 5.27,   0.0, 0.00,9
322822,"HIdetHVC", 334.965027,   4.135833,   0.000000,   0.000000, -372, 30,  0, 10.74,0.14, 38.0,10.82,   0.0, 0.00,9
322823,"HIdetHVC", 334.985413,   3.933611,   0.000000,   0.000000, -370, 27,  2,  5.35,0.09, 42.4, 5.23,   0.0, 0.00,9
321389,"HIdetHVC", 335.096680,  25.175833,   0.000000,   0.000000, -428, 31,  5,  0.81,0.06,  8.3, 3.78,   0.0, 0.00,9
322824,"HIdetHVC", 335.249603,   4.292778,   0.000000,   0.000000, -385, 30,  1,  3.47,0.07, 27.6, 5.13,   0.0, 0.00,9
321291,"HIdetHVC", 335.282501,  26.708889,   0.000000,   0.000000, -412, 29,  1,  1.71,0.09, 13.5, 5.24,   0.0, 0.00,9
322825,"HIdetHVC", 335.296265,  21.524166,   0.000000,   0.000000, -418, 24,  1,  0.50,0.04,  7.7, 3.00,   0.0, 0.00,9
321351,"HIdetHVC", 335.377106,  24.616112,   0.000000,   0.000000, -341, 26,  5,  0.67,0.06,  8.4, 3.37,   0.0, 0.00,9
322098,"HIdetHVC", 335.436646,  22.413334,   0.000000,   0.000000, -398, 18,  1,  0.28,0.02,  5.7, 2.37,   0.0, 0.00,9
321352,"HIdetHVC", 335.438751,  25.824722,   0.000000,   0.000000, -440, 21,  3,  6.63,0.11, 48.7, 6.26,   0.0, 0.00,9
321390,"HIdetHVC", 335.557922,  24.564722,   0.000000,   0.000000, -420, 24,  4,  1.06,0.07,  9.6, 4.72,   0.0, 0.00,9
322826,"HIdetHVC", 335.583740,  21.202223,   0.000000,   0.000000, -417, 25,  1,  0.55,0.03,  7.8, 2.84,   0.0, 0.00,9
322827,"HIdetHVC", 335.826660,  18.220001,   0.000000,   0.000000, -387, 25,  0,  2.33,0.12, 11.2, 9.16,   0.0, 0.00,9
 12010,"404-007 ", 335.827515,   5.541111, 335.828339,   5.533333, 2809,205,  3,  2.95,0.09, 18.0, 2.55,  41.9, 9.09,1
322099,"HIdetHVC", 335.894592,  22.164999,   0.000000,   0.000000, -415, 26,  1,  0.33,0.02,  5.9, 2.17,   0.0, 0.00,9
322828,"HIdetHVC", 335.940002,  20.422777,   0.000000,   0.000000, -419, 18,  0,  2.37,0.05, 24.3, 4.66,   0.0, 0.00,9
321391,"HIdetHVC", 336.071228,  25.563889,   0.000000,   0.000000, -403, 29,  5,  0.63,0.06,  8.2, 3.06,   0.0, 0.00,9
322100,"HIdetHVC", 336.072479,  23.344168,   0.000000,   0.000000, -343, 27,  0,  1.87,0.05, 15.5, 4.63,   0.0, 0.00,9
322829,"HIdetHVC", 336.077057,   5.101389,   0.000000,   0.000000, -244, 41, 12,  0.61,0.05,  7.7, 2.74,   0.0, 0.00,9
322830,"HIdetHVC", 336.082916,  20.075279,   0.000000,   0.000000, -412, 18,  0,  7.74,0.07, 56.7, 6.47,   0.0, 0.00,9
322832,"HIdetHVC", 336.115417,  18.543055,   0.000000,   0.000000, -426, 30,  1,  2.83,0.10, 16.2, 7.11,   0.0, 0.00,9
322833,"HIdetHVC", 336.120819,   4.512222,   0.000000,   0.000000, -340, 27,  0,  2.59,0.07, 21.2, 5.17,   0.0, 0.00,9
 12029,"        ", 336.200409,  22.966667, 336.198761,  22.971390, 1251, 91,  2,  6.06,0.05, 64.1, 2.20,  19.9, 8.75,1
321225,"HIdetHVC", 336.222504,  25.958612,   0.000000,   0.000000, -407, 22,  2,  0.98,0.07, 12.5, 3.54,   0.0, 0.00,9
322101,"HIdetHVC", 336.242493,  22.758333,   0.000000,   0.000000, -431, 22,  1,  0.79,0.04, 11.5, 3.10,   0.0, 0.00,9
749027,"HIdetHVC", 336.267059,  14.661388,   0.000000,   0.000000, -361, 22,  0,  2.56,0.04, 30.3, 3.46,   0.0, 0.00,9
749028,"HIdetHVC", 336.275391,  15.753612,   0.000000,   0.000000, -372, 34,  1,  3.02,0.11, 13.2, 7.56,   0.0, 0.00,9
322834,"HIdetHVC", 336.321655,  18.267778,   0.000000,   0.000000, -423, 26,  0,  3.78,0.11, 19.5, 8.52,   0.0, 0.00,9
322835,"HIdetHVC", 336.332489,  20.819445,   0.000000,   0.000000, -366, 50,  2,  1.39,0.08,  8.7, 4.86,   0.0, 0.00,9
749029,"HIdetHVC", 336.380402,  14.770278,   0.000000,   0.000000, -363, 21,  0,  1.68,0.04, 21.8, 3.29,   0.0, 0.00,9
321293,"HIdetHVC", 336.402496,  26.881111,   0.000000,   0.000000, -470, 36,  2,  0.66,0.05,  8.5, 2.86,   0.0, 0.00,9
322109,"HIdetHVC", 336.489136,  22.423889,   0.000000,   0.000000, -426, 24,  1,  0.84,0.04, 11.1, 3.19,   0.0, 0.00,9
322111,"HIdetHVC", 336.492493,  22.549721,   0.000000,   0.000000, -423, 32,  2,  0.63,0.04,  7.9, 2.86,   0.0, 0.00,9
322836,"HIdetHVC", 336.494568,  21.798056,   0.000000,   0.000000, -420, 29,  1,  2.75,0.14, 11.5,10.22,   0.0, 0.00,9
322837,"HIdetHVC", 336.524170,  18.036110,   0.000000,   0.000000, -428, 35,  1,  5.14,0.09, 27.9, 6.69,   0.0, 0.00,9
322838,"HIdetHVC", 336.524567,  18.026667,   0.000000,   0.000000, -427, 35,  1,  5.86,0.10, 30.0, 7.09,   0.0, 0.00,9
 12035,"N7280   ", 336.611237,  16.146111, 336.614563,  16.147499, 1872,115, 10,  1.37,0.08, 11.1, 2.56,  24.0, 8.27,1
322839,"HIdetHVC", 336.643311,  17.631666,   0.000000,   0.000000, -425, 57,  1, 13.44,0.16, 40.9, 9.37,   0.0, 0.00,9
320215,"452-012 ", 336.688721,  16.184721, 336.688324,  16.183887, 1902,115,  5,  3.94,0.06, 37.9, 2.16,  29.1, 8.90,1
749030,"HIdetHVC", 336.702057,  14.937500,   0.000000,   0.000000, -362, 28,  1,  1.35,0.10,  7.3, 7.03,   0.0, 0.00,9
322160,"        ", 336.790436,   9.083611, 336.794189,   9.086389, 2760, 71,  5,  0.83,0.06,  9.5, 2.31,  41.3, 8.52,1
322466,"rgmph   ", 336.824158,  17.476112, 336.828766,  17.475834, 1973, 68,  5,  1.46,0.06, 16.2, 2.41,  30.2, 8.50,1
322840,"HIdetHVC", 336.836273,  17.193611,   0.000000,   0.000000, -420, 40,  1,  6.87,0.11, 34.5, 7.16,   0.0, 0.00,9
322841,"HIdetHVC", 336.877106,   3.745556,   0.000000,   0.000000, -330, 32,  5,  4.62,0.24, 12.8,13.87,   0.0, 0.00,9
322842,"HIdetHVC", 336.878357,  20.877777,   0.000000,   0.000000, -435, 30,  0,  4.56,0.19, 11.8,14.96,   0.0, 0.00,9
749031,"HIdetHVC", 336.884583,  14.231667,   0.000000,   0.000000, -350, 30,  1,  2.91,0.18,  7.9,12.92,   0.0, 0.00,9
 12043,"N7286   ", 336.957916,  29.099445, 336.960846,  29.095556, 1008,176,  2, 13.54,0.09, 91.5, 2.49,  16.5, 8.94,1
320901,"KKR70   ", 337.021271,  23.373611, 337.027924,  23.377222, 1278, 57,  2,  2.90,0.05, 32.1, 2.63,  20.3, 8.45,1
322112,"HIdetHVC", 337.061676,  23.808887,   0.000000,   0.000000, -404, 19,  0,  1.76,0.04, 19.9, 3.99,   0.0, 0.00,9
 12048,"N7292   ", 337.104187,  30.291111, 337.109589,  30.291111,  987, 73,  3, 23.13,0.09,188.0, 3.19,  16.2, 9.15,1
 12045,"N7290   ", 337.106659,  17.148056, 337.110016,  17.147223, 2899,253,  3,  8.80,0.11, 47.0, 2.63,  42.7, 9.58,1
322764,"        ", 337.142914,  32.448612, 337.145020,  32.449722,  817, 61,  5,  0.86,0.06, 10.0, 2.44,  13.8, 7.59,1
 12049,"        ", 337.195404,  17.016666, 337.196686,  17.015556, 2964,119,  4,  3.17,0.07, 25.5, 2.54,  44.3, 9.17,1
322843,"HIdetHVC", 337.276672,   5.044722,   0.000000,   0.000000, -240, 75,  5,  1.09,0.08,  8.0, 3.48,   0.0, 0.00,9
322244,"HIdetHVC", 337.291656,   9.819722,   0.000000,   0.000000,  -67, 27,  1, 82.30,0.15,293.4,11.72,   0.0, 0.00,9
321394,"HIdetHVC", 337.323761,  25.014723,   0.000000,   0.000000, -289, 36, 11,  0.38,0.05,  6.5, 2.14,   0.0, 0.00,9
 12054,"404-018 ", 337.386688,   7.729167, 337.385010,   7.725278, 2065,203,  2,  8.97,0.09, 57.6, 2.44,  36.3, 9.45,1
322844,"HIdetHVC", 337.399994,  17.062777,   0.000000,   0.000000, -408, 26,  0,  4.95,0.06, 46.6, 4.60,   0.0, 0.00,9
322845,"HIdetHVC", 337.400421,  16.594723,   0.000000,   0.000000, -382, 26,  0,  5.44,0.06, 47.8, 4.87,   0.0, 0.00,9
322846,"HIdetHVC", 337.405426,  19.740000,   0.000000,   0.000000, -415, 26,  0,  6.13,0.09, 31.0, 7.89,   0.0, 0.00,9
322113,"HIdetHVC", 337.423767,  23.532223,   0.000000,   0.000000, -399, 23,  0,  1.90,0.06, 17.1, 4.79,   0.0, 0.00,9
320607,"        ", 337.452087,  16.852777, 337.440826,  16.849445, 2858, 44, 14,  0.79,0.08,  7.8, 3.38,  42.8, 8.53,1
322114,"HIdetHVC", 337.455414,  23.927221,   0.000000,   0.000000, -414, 26,  1,  0.50,0.03,  8.7, 2.50,   0.0, 0.00,9
322847,"HIdetHVC", 337.540833,  19.321945,   0.000000,   0.000000, -403, 25,  0,  4.00,0.07, 30.1, 5.90,   0.0, 0.00,9
322245,"HIdetHVC", 337.567932,   9.965278,   0.000000,   0.000000, -276, 25,  1,  1.74,0.04, 18.6, 3.79,   0.0, 0.00,9
321378,"        ", 337.575836,  16.262777, 337.572937,  16.265556, 2919, 88,  3,  1.85,0.05, 19.7, 2.22,  43.7, 8.92,1
 12060,"514-045 ", 337.639984,  33.821388, 337.641235,  33.819721,  883,112,  2, 23.36,0.08,167.5, 2.93,  14.7, 9.08,1
322848,"HIdetHVC", 337.640808,  19.466389,   0.000000,   0.000000, -400, 28,  0,  1.26,0.04, 15.3, 3.29,   0.0, 0.00,9
620085,"        ", 337.649170,  -0.125833, 337.653320,  -0.110278, 1594, 57,  8,  0.52,0.05,  5.5, 2.76,  24.0, 7.85,2
322849,"HIdetHVC", 337.657074,  18.426666,   0.000000,   0.000000, -390, 19,  0,  1.92,0.04, 29.6, 3.26,   0.0, 0.00,9
321353,"HIdetHVC", 337.668732,  24.643333,   0.000000,   0.000000, -402, 27,  3,  3.46,0.12, 24.7, 5.79,   0.0, 0.00,9
322013,"        ", 337.695007,   1.402500, 337.693756,   1.395278, 1574, 72, 51,  1.83,0.08, 16.7, 2.86,  23.7, 8.39,1
322850,"HIdetHVC", 337.717102,  11.624166,   0.000000,   0.000000, -337, 19,  1,  1.79,0.06, 13.9, 5.91,   0.0, 0.00,9
