AGCNr,Name,HIra,HIdec,OCra,OCdec,v21,w50,werr,flux,fluxerr,snratio,rms,dist,loghimass,detcode
  5897,"066-015 ", 161.923340,  11.080556, 161.922928,  11.076667, 2718,296,  2, 13.22,0.08, 91.7, 1.87,  35.3, 9.59,1
205295,"LeoRing ", 161.950424,  12.216389,   0.000000,   0.000000,  978, 59,  4, 14.59,0.08,138.2, 3.03,  11.8, 8.68,1
205296,"LeoRing ", 161.958344,  13.126945,   0.000000,   0.000000,  787, 30, 11,  0.54,0.05, 10.1, 2.12,  11.9, 7.25,1
  5898,"M+624014", 161.968353,  33.730278, 161.959595,  33.728611, 1642,134,  5,  4.69,0.07, 43.3, 2.09,  26.3, 8.88,1
200581,"066-017 ", 161.972092,  10.900000, 161.974594,  10.897778, 2799,107,  4,  3.52,0.07, 28.4, 2.24,  42.7, 9.18,1
208338,"HIdetHVC", 161.977509,  13.930000,   0.000000,   0.000000,   74, 31,  5, 15.01,0.09,136.3, 4.26,   0.0, 0.00,9
208719,"HIdetHVC", 161.985016,  18.561110,   0.000000,   0.000000,  179, 25,  2,  2.27,0.09, 21.2, 4.58,   0.0, 0.00,9
205297,"LeoRing ", 162.019165,  13.187500,   0.000000,   0.000000,  794, 21,  8,  0.26,0.04,  5.6, 2.16,  11.9, 6.94,1
205192,"        ", 162.029999,  14.876389, 162.035416,  14.854445, 2854,187,  9,  0.68,0.08,  4.9, 2.25,  43.5, 8.48,2
205668,"        ", 162.039581,  33.740276, 162.045837,  33.744446, 1644,108,  4,  3.15,0.05, 37.0, 1.83,  26.3, 8.71,1
  5906,"N3380   ", 162.050415,  28.602501, 162.050842,  28.601389, 1603,116,  3,  1.96,0.05, 25.5, 1.60,   8.4, 7.51,1
205301,"LeoRing ", 162.051666,  12.068334,   0.000000,   0.000000,  927, 47,  3,  3.77,0.06, 41.9, 2.89,  11.8, 8.09,1
205302,"LeoRing ", 162.057922,  12.141666,   0.000000,   0.000000,  917, 46,  4,  2.72,0.06, 32.8, 2.69,  11.8, 7.95,1
205303,"LeoRing ", 162.066254,  12.298056,   0.000000,   0.000000,  910, 54,  3, 11.32,0.07,143.2, 2.38,  11.8, 8.57,1
  5909,"N3381   ", 162.104996,  34.705833, 162.102921,  34.711113, 1634, 70,  7, 14.96,0.09,131.4, 3.02,  26.1, 9.38,1
208339,"HIdetHVC", 162.115417,  14.020278,   0.000000,   0.000000,   75, 34,  3,  9.44,0.07, 94.7, 3.73,   0.0, 0.00,9
  5914,"N3389   ", 162.117920,  12.530277, 162.116241,  12.533055, 1301,266,  2, 26.43,0.10,162.5, 2.23,  20.8, 9.43,1
205304,"LeoRing ", 162.118332,  12.428889,   0.000000,   0.000000,  854, 98, 13,  1.26,0.05, 15.9, 1.78,  11.8, 7.61,1
205305,"LeoRing ", 162.127502,  12.626111,   0.000000,   0.000000,  648, 44,  8,  0.96,0.04, 18.7, 1.71,  11.8, 7.50,1
205306,"LeoRing ", 162.137924,  12.499445,   0.000000,   0.000000,  794, 75,  8,  0.73,0.04, 10.6, 1.77,  11.8, 7.38,1
201105,"        ", 162.144165,  27.970556, 162.151245,  27.970001, 2371,157,  7,  0.77,0.06,  6.6, 2.08,  36.4, 8.38,1
205307,"LeoRing ", 162.151245,  12.046667,   0.000000,   0.000000,  924, 27,  5,  0.68,0.04, 14.5, 1.93,  11.7, 7.34,1
205308,"LeoRing ", 162.180008,  13.265278,   0.000000,   0.000000,  785, 12,  4,  0.22,0.03,  6.6, 1.85,  11.9, 6.86,1
208424,"HIdetHVC", 162.202499,   5.071389,   0.000000,   0.000000,  164, 20,  1,  0.72,0.04,  8.3, 3.66,   0.0, 0.00,9
200598,"066-025 ", 162.235001,  12.197500, 162.236664,  12.194445, 1321,125,  9,  4.75,0.07, 42.6, 2.22,  11.7, 8.19,1
  5920,"N3391   ", 162.239166,  14.213611, 162.235001,  14.219166, 2956,213,  2,  9.90,0.09, 69.1, 2.19,  44.9, 9.67,1
200600,"066-024 ", 162.251251,  10.835833, 162.248749,  10.835278, 1939,120,  6,  1.44,0.06, 13.3, 1.96,  30.5, 8.50,1
